lead_min,recorte,n,n_pos,prev,auc_pr,auc_roc,lift
0,completo,71089,12324,0.1734,0.8667,0.9417,5.0
0,sem_CA65926,64006,6558,0.1025,0.7913,0.9404,7.72
15,completo,71089,11056,0.1555,0.7686,0.9284,4.94
15,sem_CA65926,64006,5385,0.0841,0.6083,0.9213,7.23
30,completo,71089,10592,0.149,0.7271,0.9235,4.88
30,sem_CA65926,64006,4971,0.0777,0.5353,0.9145,6.89
60,completo,71089,9687,0.1363,0.6599,0.916,4.84
60,sem_CA65926,64006,4236,0.0662,0.4179,0.9043,6.31
90,completo,71089,8856,0.1246,0.6172,0.9128,4.95
90,sem_CA65926,64006,3598,0.0562,0.34,0.8991,6.05
120,completo,71089,7911,0.1113,0.5714,0.9102,5.13
120,sem_CA65926,64006,2880,0.045,0.2471,0.8916,5.49
