TAG,n_eventos,n_DG,prevalencia_DG,auc_roc,obs
PE3797,9690,1,0.0001,0.9263,""
PE3795,5013,3,0.0006,0.9254,""
CA65926,7083,4298,0.6068,0.8969,""
CA65932,584,24,0.0411,0.8367,""
CA65924,1097,25,0.0228,0.7915,""
CA65916,1383,2,0.0014,0.748,""
CA65790,752,4,0.0053,0.7288,""
CA65792,1599,30,0.0188,0.7185,""
CA65928,1431,59,0.0412,0.6981,""
CA5927,562,33,0.0587,0.6778,""
CA65937,323,21,0.065,0.6768,""
CA65933,2274,190,0.0836,0.6514,""
CA65909,1134,65,0.0573,0.6109,""
CA65927,2684,148,0.0551,0.6011,""
CA65915,596,29,0.0487,0.5989,""
CA65936,446,58,0.13,0.584,""
CA65934,1429,4,0.0028,0.5805,""
CA65789,155,6,0.0387,0.5794,""
CA5926,487,27,0.0554,0.5363,""
CA65925,648,11,0.017,0.5219,""
CA65930,360,19,0.0528,0.515,""
CA65793,176,1,0.0057,0.4914,""
CA65921,786,44,0.056,0.483,""
CA65929,11229,2,0.0002,0.4267,""
CA65935,1386,101,0.0729,0.425,""
CA65931,565,21,0.0372,0.351,""
CA65791,11,0,0.0,,AUC indefinido (sem variabilidade no target)
PE3796,7110,0,0.0,,AUC indefinido (sem variabilidade no target)
PE3798,7179,0,0.0,,AUC indefinido (sem variabilidade no target)
PE3799,2917,0,0.0,,AUC indefinido (sem variabilidade no target)
