variante,target,scale_pos_weight,split,n_eventos,n_positivos,auc_pr,precision_05,recall_05,f1_05,tempo_treino_s
A,target_4h,1.9725,val,78825,14481,0.7523,0.7759,0.5502,0.6439,5.6
A,target_4h,1.9725,test,71089,12038,0.8566,0.8187,0.7425,0.7787,5.6
B,target_4h,4.6531,val,78825,14481,0.735,0.7046,0.5899,0.6422,6.1
B,target_4h,4.6531,test,71089,12038,0.8517,0.7494,0.7844,0.7665,6.1
C,target_4h_producao,2.0962,val,78825,13847,0.7012,0.8043,0.4889,0.6082,5.4
C,target_4h_producao,2.0962,test,71089,11463,0.8533,0.8428,0.7331,0.7841,5.4
T2,target_2h,2.3596,val,78825,11084,0.7729,0.6688,0.6996,0.6838,5.0
T2,target_2h,2.3596,test,71089,10442,0.8378,0.806,0.8123,0.8091,5.0
T8,target_8h,1.5846,val,78825,19195,0.7421,0.7372,0.531,0.6173,6.0
T8,target_8h,1.5846,test,71089,14329,0.8211,0.8131,0.6693,0.7343,6.0
