Nome_Operador_Anon,n_eventos,n_dgs,taxa_dg_pct
OP_004,154,129,83.766
OP_254,661,322,48.714
OP_390,443,185,41.761
OP_338,912,344,37.719
OP_288,880,307,34.886
OP_029,3125,1016,32.512
OP_369,850,245,28.824
OP_125,1102,290,26.316
OP_001,831,216,25.993
OP_255,462,89,19.264
OP_120,1246,226,18.138
OP_039,393,69,17.557
OP_236,1985,333,16.776
OP_163,331,50,15.106
OP_114,280,40,14.286
OP_016,421,53,12.589
OP_395,16,2,12.5
OP_247,482,58,12.033
OP_239,1882,222,11.796
OP_181,2043,224,10.964
OP_112,933,101,10.825
OP_098,3411,367,10.759
OP_264,178,19,10.674
OP_009,244,26,10.656
OP_164,511,54,10.568
OP_143,30,3,10.0
OP_054,1554,155,9.974
OP_225,451,44,9.756
OP_226,103,10,9.709
OP_027,3433,333,9.7
OP_307,5282,509,9.637
OP_073,495,47,9.495
OP_313,1278,121,9.468
OP_129,1515,142,9.373
OP_043,264,24,9.091
OP_187,1455,131,9.003
OP_185,1264,113,8.94
OP_154,202,18,8.911
OP_270,1305,114,8.736
OP_233,1565,135,8.626
OP_059,422,36,8.531
OP_290,2162,183,8.464
OP_105,643,54,8.398
OP_301,3574,297,8.31
OP_229,219,18,8.219
OP_259,1439,116,8.061
OP_021,411,33,8.029
OP_162,628,50,7.962
OP_333,506,40,7.905
OP_068,851,67,7.873
OP_026,476,37,7.773
OP_179,2442,189,7.74
OP_215,1625,125,7.692
OP_025,489,37,7.566
OP_132,1903,143,7.514
OP_241,3199,238,7.44
OP_099,41,3,7.317
OP_278,6179,452,7.315
OP_359,766,56,7.311
OP_104,854,62,7.26
OP_341,139,10,7.194
OP_256,2384,171,7.173
OP_388,977,70,7.165
OP_350,1708,121,7.084
OP_308,792,56,7.071
OP_032,1061,75,7.069
OP_053,1360,96,7.059
OP_216,3487,243,6.969
OP_134,349,24,6.877
OP_294,208,14,6.731
OP_391,212,14,6.604
OP_015,813,53,6.519
OP_208,327,21,6.422
OP_040,172,11,6.395
OP_161,473,30,6.342
OP_067,426,27,6.338
OP_036,746,47,6.3
OP_155,286,18,6.294
OP_139,352,22,6.25
OP_249,160,10,6.25
OP_248,802,50,6.234
OP_314,1445,90,6.228
OP_246,1002,62,6.188
OP_309,275,17,6.182
OP_212,5464,337,6.168
OP_240,114,7,6.14
OP_172,295,18,6.102
OP_352,1561,95,6.086
OP_213,1018,61,5.992
OP_107,836,50,5.981
OP_206,3017,180,5.966
OP_056,1484,88,5.93
OP_058,877,52,5.929
OP_188,17,1,5.882
OP_072,222,13,5.856
OP_358,1462,85,5.814
OP_034,534,31,5.805
OP_148,313,18,5.751
OP_336,1484,85,5.728
OP_257,3565,202,5.666
OP_245,1047,59,5.635
OP_174,107,6,5.607
OP_184,180,10,5.556
OP_071,6730,373,5.542
OP_389,3048,168,5.512
OP_121,183,10,5.464
OP_047,1594,87,5.458
OP_380,864,47,5.44
OP_330,1020,55,5.392
OP_365,2283,123,5.388
OP_231,484,26,5.372
OP_078,1563,83,5.31
OP_019,1624,86,5.296
OP_228,38,2,5.263
OP_017,326,17,5.215
OP_221,1039,54,5.197
OP_116,194,10,5.155
OP_269,234,12,5.128
OP_327,2517,129,5.125
OP_141,1529,78,5.101
OP_171,907,46,5.072
OP_097,679,34,5.007
OP_263,445,22,4.944
OP_063,669,33,4.933
OP_151,2049,101,4.929
OP_093,305,15,4.918
OP_111,61,3,4.918
OP_046,41,2,4.878
OP_306,866,42,4.85
OP_251,228,11,4.825
OP_149,1789,86,4.807
OP_261,2006,96,4.786
OP_144,42,2,4.762
OP_315,886,42,4.74
OP_117,404,19,4.703
OP_156,1172,54,4.608
OP_084,263,12,4.563
OP_173,201,9,4.478
OP_090,760,34,4.474
OP_368,403,18,4.467
OP_253,680,30,4.412
OP_180,205,9,4.39
OP_190,1850,80,4.324
OP_030,1851,80,4.322
OP_328,326,14,4.294
OP_118,863,37,4.287
OP_113,235,10,4.255
OP_319,623,26,4.173
OP_232,2332,92,3.945
OP_220,539,21,3.896
OP_092,387,15,3.876
OP_145,362,14,3.867
OP_178,286,11,3.846
OP_103,546,21,3.846
OP_340,625,24,3.84
OP_349,835,32,3.832
OP_152,371,14,3.774
OP_203,133,5,3.759
OP_183,773,29,3.752
OP_324,1947,73,3.749
OP_360,2866,107,3.733
OP_007,2227,83,3.727
OP_342,2567,94,3.662
OP_332,1614,59,3.656
OP_100,55,2,3.636
OP_322,804,29,3.607
OP_028,590,21,3.559
OP_343,4165,148,3.553
OP_295,85,3,3.529
OP_287,546,19,3.48
OP_286,1207,42,3.48
OP_041,867,30,3.46
OP_140,1053,36,3.419
OP_170,1260,43,3.413
OP_137,5145,175,3.401
OP_355,1088,37,3.401
OP_260,354,12,3.39
OP_010,2553,86,3.369
OP_234,1625,54,3.323
OP_347,304,10,3.289
OP_348,367,12,3.27
OP_275,17986,588,3.269
OP_196,3692,120,3.25
OP_062,1215,39,3.21
OP_268,3695,117,3.166
OP_334,601,19,3.161
OP_202,191,6,3.141
OP_153,583,18,3.087
OP_013,3443,106,3.079
OP_064,653,20,3.063
OP_323,3593,110,3.062
OP_366,2484,75,3.019
OP_087,4645,140,3.014
OP_393,133,4,3.008
OP_267,1530,46,3.007
OP_218,1566,47,3.001
OP_345,1036,31,2.992
OP_166,4362,130,2.98
OP_076,2150,64,2.977
OP_316,1476,43,2.913
OP_055,4224,122,2.888
OP_005,209,6,2.871
OP_182,453,13,2.87
OP_291,2494,71,2.847
OP_077,562,16,2.847
OP_177,1069,30,2.806
OP_169,1177,33,2.804
OP_200,2652,74,2.79
OP_122,72,2,2.778
OP_130,1520,42,2.763
OP_023,1537,42,2.733
OP_086,1524,41,2.69
OP_289,675,18,2.667
OP_282,188,5,2.66
OP_049,2991,79,2.641
OP_044,874,23,2.632
OP_109,2094,55,2.627
OP_223,1906,50,2.623
OP_192,2147,56,2.608
OP_003,547,14,2.559
OP_033,3976,100,2.515
OP_038,40,1,2.5
OP_335,721,18,2.497
OP_194,2849,71,2.492
OP_024,5216,128,2.454
OP_362,736,18,2.446
OP_276,250,6,2.4
OP_384,1003,24,2.393
OP_075,504,12,2.381
OP_198,87,2,2.299
OP_329,744,17,2.285
OP_238,315,7,2.222
OP_382,3193,70,2.192
OP_095,1664,36,2.163
OP_150,371,8,2.156
OP_089,420,9,2.143
OP_022,1401,30,2.141
OP_383,6259,133,2.125
OP_250,332,7,2.108
OP_303,287,6,2.091
OP_284,527,11,2.087
OP_299,721,15,2.08
OP_057,539,11,2.041
OP_337,196,4,2.041
OP_106,539,11,2.041
OP_048,2752,56,2.035
OP_274,945,19,2.011
OP_392,4531,91,2.008
OP_372,1200,24,2.0
OP_266,201,4,1.99
OP_374,1713,34,1.985
OP_258,252,5,1.984
OP_321,1066,21,1.97
OP_320,259,5,1.931
OP_189,573,11,1.92
OP_159,1096,21,1.916
OP_147,1008,19,1.885
OP_165,655,12,1.832
OP_096,452,8,1.77
OP_242,5998,104,1.734
OP_230,766,13,1.697
OP_219,512,8,1.562
OP_012,485,7,1.443
OP_018,630,9,1.429
OP_069,351,5,1.425
OP_331,1848,25,1.353
OP_281,149,2,1.342
OP_363,720,9,1.25
OP_209,1125,14,1.244
OP_133,169,2,1.183
OP_160,687,8,1.164
OP_375,261,3,1.149
OP_091,436,5,1.147
OP_381,358,4,1.117
OP_079,808,9,1.114
OP_126,189,2,1.058
OP_081,191,2,1.047
OP_346,1154,12,1.04
OP_193,605,6,0.992
OP_252,1520,14,0.921
OP_135,3476,28,0.806
OP_199,125,1,0.8
OP_060,1030,8,0.777
OP_168,1331,10,0.751
OP_035,1981,14,0.707
OP_298,4442,31,0.698
OP_222,866,6,0.693
OP_217,2332,16,0.686
OP_344,3824,26,0.68
OP_008,1708,11,0.644
OP_207,1643,10,0.609
OP_186,165,1,0.606
OP_214,661,4,0.605
OP_102,991,6,0.605
OP_061,874,5,0.572
OP_157,4241,24,0.566
OP_083,817,4,0.49
OP_243,5312,26,0.489
OP_020,1670,8,0.479
OP_378,1073,5,0.466
OP_011,7001,32,0.457
OP_310,4663,21,0.45
OP_110,226,1,0.442
OP_201,233,1,0.429
OP_051,7463,30,0.402
OP_351,256,1,0.391
OP_088,1854,7,0.378
OP_138,2673,10,0.374
OP_065,5279,19,0.36
OP_037,1647,5,0.304
OP_280,344,1,0.291
OP_326,1078,3,0.278
OP_167,376,1,0.266
OP_356,1471,3,0.204
OP_175,650,1,0.154
OP_124,8306,12,0.144
OP_271,4328,6,0.139
OP_136,2152,3,0.139
OP_272,1498,2,0.134
OP_283,6080,8,0.132
OP_006,5286,6,0.114
OP_042,10091,11,0.109
OP_128,4713,5,0.106
OP_293,4945,5,0.101
OP_377,1280,1,0.078
OP_127,1455,1,0.069
OP_115,2284,1,0.044
