trial,value_auc_pr_cv,state,n_estimators,learning_rate,num_leaves,min_child_samples,scale_pos_weight,lambda_l1,lambda_l2
0,0.8117,COMPLETE,218,0.2536999076681772,97,64,0.8900466011060912,0.004207053950287938,0.0017073967431528124
1,0.8443,COMPLETE,440,0.07725378389307355,95,11,2.9247746304049858,2.1368329072358767,0.0070689749506246055
2,0.878,COMPLETE,132,0.018659959624904916,49,57,1.5798625466052894,0.014618962793704957,0.2801635158716261
3,0.8714,COMPLETE,112,0.027010527749605478,56,51,2.462939903482534,0.006290644294586149,0.11400863701127326
4,0.8795,COMPLETE,317,0.011711509955524094,83,25,0.6626289824631988,6.245139574743075,7.2866537374910445
5,0.8671,COMPLETE,414,0.028180680291847244,26,72,1.6003812343490034,0.003077180271250686,0.09565499215943825
6,0.8276,COMPLETE,65,0.22038218939289875,44,70,1.2792776902235274,0.12030178871154672,0.1537592023548176
7,0.8494,COMPLETE,133,0.27051668818999286,102,95,2.737068376069122,0.24637685958997463,4.869640941520899
8,0.8744,COMPLETE,89,0.01947558230629543,20,39,1.471693224223705,0.01217295809836997,2.0651425578959257
9,0.8719,COMPLETE,210,0.026000059117302653,76,22,2.5054924518850994,0.0019870215385428634,8.862326508576253
10,0.8722,COMPLETE,338,0.010206070557577008,124,32,0.536352187905911,4.2722748162267905,0.834579246362133
11,0.8744,COMPLETE,300,0.01135455945030893,66,48,2.043636182482553,0.0398359191599727,0.509055873839591
12,0.8561,COMPLETE,360,0.06314348458287034,79,80,1.012927382307161,0.9210981329435804,0.02935577324959458
13,0.878,COMPLETE,219,0.016115655079331635,46,41,1.9158413051721732,0.02816541922198377,0.8968621339500512
14,0.8614,COMPLETE,486,0.043526292481634914,46,24,0.5638737370263587,0.45042834710787116,0.01773943337541543
15,0.866,COMPLETE,175,0.1196890828618731,122,59,1.0260735703466863,9.90940277868717,3.7465474807055403
16,0.8686,COMPLETE,268,0.015291183403417698,84,85,2.154425536543242,0.0010555946173909007,0.3342123300392856
17,0.8624,COMPLETE,281,0.04269971192318982,33,11,1.3778278115864304,0.050745976086726166,2.047147040324709
18,0.8753,COMPLETE,164,0.02023013466220498,64,29,1.792910933458527,0.013355404257800954,0.04062201114911617
19,0.8731,COMPLETE,367,0.012772228552873854,87,43,0.857895010690186,0.14467053264901508,0.004531292986525192
20,0.8495,COMPLETE,310,0.09806146822400062,108,57,1.1646289962678347,0.9339063703383828,0.26182495374863185
21,0.8768,COMPLETE,235,0.01618354535995909,47,37,1.7769657539511485,0.03294900078937184,0.9588989493471535
22,0.8709,COMPLETE,165,0.03610230422389698,36,46,2.012567306487833,0.015650710141202534,1.1532065779658978
23,0.8737,COMPLETE,234,0.015124399688639488,58,20,2.304777636257113,0.05691660552384099,8.418841767904226
24,0.8758,COMPLETE,132,0.019675672403449824,55,35,1.5997293110969157,0.020043126398609976,2.363544272193658
25,0.8724,COMPLETE,187,0.010594875607347783,70,56,1.8049327452394262,0.0065362483081253375,0.4379069018906116
26,0.878,COMPLETE,271,0.023358447944319235,35,66,0.6766077858551449,0.08252909348594273,4.02343705151096
27,0.8742,COMPLETE,398,0.0222432498875331,35,67,0.7080707422137799,0.5179781670662439,4.524848461192219
28,0.8744,COMPLETE,258,0.03308266104790008,18,75,0.7538807379768965,0.07956933152287257,7.526191895936991
29,0.872,COMPLETE,317,0.012645076258228239,93,66,1.1352420193317019,0.18956128337625625,0.06029377818287174
30,0.8554,COMPLETE,494,0.0521676970081436,26,90,0.9034339339003195,1.9679139615664667,0.0012246651174215777
31,0.8795,COMPLETE,208,0.015732372759858487,42,63,0.6832214139080117,0.026979987468263723,1.3886826706951738
32,0.8787,COMPLETE,203,0.014060602316104854,53,62,0.7224872000019568,0.08621326562309209,2.7360980275182545
33,0.8792,COMPLETE,253,0.013492228248134055,40,62,0.6692548083247107,0.25918193345029916,3.4095059169612765
34,0.8834,COMPLETE,199,0.013045041863208736,61,60,0.5131147654888636,0.3184185809549983,1.8191627038692422
35,0.8821,COMPLETE,246,0.010032611352295625,64,52,0.5080311385880715,0.31932047473625785,1.488561878707552
36,0.8827,COMPLETE,289,0.010439246545424307,61,54,0.5039045396505593,2.8719451206842344,0.6756515421735497
37,0.8813,COMPLETE,350,0.010998197833454907,60,52,0.5527888577385098,9.843155468624172,0.16985584206519808
38,0.8802,COMPLETE,391,0.010046059421047814,63,52,0.509918836630631,2.6790261475855153,0.1459911335571457
39,0.8755,COMPLETE,351,0.012192523139939028,70,50,0.8804922482698855,1.3057283185415585,0.6160112932044071
40,0.8553,COMPLETE,291,0.14568924319434656,61,53,0.8360505512792469,4.790604668733577,0.22297159364709518
41,0.8791,COMPLETE,384,0.010059081669807327,75,53,0.5338131040912001,3.193114152268999,0.13946103449156244
42,0.8808,COMPLETE,422,0.011526083336700858,52,46,0.5170626932837866,8.281593166110016,0.08320410161155635
43,0.8774,COMPLETE,448,0.01723964483998505,50,44,0.5105291648949867,8.661058189580647,0.06312635828879505
44,0.8745,COMPLETE,429,0.012148493745419674,58,48,2.9966023313982153,6.567928940703133,0.08581488933887169
45,0.8771,COMPLETE,324,0.01209217632286913,68,75,0.9665832730760343,1.8834732428723502,0.2131702618928837
46,0.8698,COMPLETE,473,0.017650847137337895,52,71,0.7942526457623347,0.45719272461688754,0.012565682664018633
47,0.8764,COMPLETE,343,0.013763206614052581,73,58,0.6087491471382149,3.734356675073097,0.6711513966934548
48,0.865,COMPLETE,459,0.02790824518920322,80,39,1.11019480018639,5.724755537083068,0.3849316388526827
49,0.8798,COMPLETE,241,0.010979525192246832,61,48,1.2779320356675499,0.7997938248169572,1.74988572979
