rank,feature,mean_abs_shap,pct_total
1,horas_desde_ultimo_DG,0.968469,39.27
2,qtd_alarmes_nivel_muito_alto_360min,0.766515,31.08
3,razao_alarme_7d_vs_30d_anterior,0.211467,8.57
4,tipo_caminhao,0.122313,4.96
5,tag_freq,0.040925,1.66
6,count_total_24h,0.032035,1.3
7,horas_desde_ultimo_critico,0.0297,1.2
8,razao_severidade_14d_vs_60d,0.026955,1.09
9,mes,0.021977,0.89
10,count_nao_critico_8h,0.020926,0.85
11,frota_793D_4S,0.02023,0.82
12,count_nao_critico_24h,0.018138,0.74
13,operador_freq,0.017758,0.72
14,count_nao_critico_4h,0.016634,0.67
15,count_total_1h,0.014954,0.61
16,count_nao_critico_2h,0.014494,0.59
17,estado_pre_evento,0.013138,0.53
18,count_critico_24h,0.012433,0.5
19,taxa_DG_operador_30d,0.012407,0.5
20,count_nao_critico_1h,0.011486,0.47
21,frota_793D_5S,0.010067,0.41
22,n_bypasses_operador_7d,0.008467,0.34
23,count_critico_1h,0.008184,0.33
24,count_total_8h,0.007582,0.31
25,dia_semana,0.006896,0.28
26,hora_dia,0.006783,0.28
27,count_critico_2h,0.006327,0.26
28,count_critico_8h,0.00609,0.25
29,count_critico_4h,0.003687,0.15
30,count_total_4h,0.003282,0.13
31,count_total_2h,0.003028,0.12
32,valor_disponivel,0.001152,0.05
33,turno,0.001033,0.04
34,frota_793D_2S,0.000536,0.02
35,frota_793D_3S,0.000028,0.0
