feature,valor_no_evento,shap_value,abs_shap,tag,p_dg_4h
qtd_alarmes_nivel_muito_alto_360min,322,2.94206,2.94206,CA65933,0.96889605694031
razao_alarme_7d_vs_30d_anterior,3.9848,0.83724,0.83724,CA65933,0.96889605694031
tipo_caminhao,1,0.40321,0.40321,CA65933,0.96889605694031
count_nao_critico_8h,348,0.08553,0.08553,CA65933,0.96889605694031
razao_severidade_14d_vs_60d,0.2211,0.06013,0.06013,CA65933,0.96889605694031
operador_freq,0.001,0.05883,0.05883,CA65933,0.96889605694031
tag_freq,0.0218,0.04208,0.04208,CA65933,0.96889605694031
mes,6,-0.03886,0.03886,CA65933,0.96889605694031
frota_793D_5S,1,0.02711,0.02711,CA65933,0.96889605694031
taxa_DG_operador_30d,0.0587,0.02705,0.02705,CA65933,0.96889605694031
frota_793D_4S,0,0.0182,0.0182,CA65933,0.96889605694031
count_total_2h,30,-0.01527,0.01527,CA65933,0.96889605694031
dia_semana,3,0.01331,0.01331,CA65933,0.96889605694031
count_total_24h,504,-0.01174,0.01174,CA65933,0.96889605694031
count_nao_critico_2h,30,-0.01166,0.01166,CA65933,0.96889605694031
count_critico_24h,8,-0.01009,0.01009,CA65933,0.96889605694031
count_total_4h,33,0.00931,0.00931,CA65933,0.96889605694031
count_nao_critico_1h,27,-0.00708,0.00708,CA65933,0.96889605694031
count_total_8h,354,-0.00418,0.00418,CA65933,0.96889605694031
horas_desde_ultimo_critico,4.1258,0.00408,0.00408,CA65933,0.96889605694031
count_critico_4h,0,0.00283,0.00283,CA65933,0.96889605694031
count_total_1h,27,0.00271,0.00271,CA65933,0.96889605694031
count_critico_2h,0,-0.00248,0.00248,CA65933,0.96889605694031
hora_dia,16,0.00191,0.00191,CA65933,0.96889605694031
n_bypasses_operador_7d,0,-0.00184,0.00184,CA65933,0.96889605694031
frota_793D_2S,0,-0.0009,0.0009,CA65933,0.96889605694031
count_nao_critico_4h,33,0.00081,0.00081,CA65933,0.96889605694031
turno,Diurno,0.00076,0.00076,CA65933,0.96889605694031
count_critico_1h,0,-0.00059,0.00059,CA65933,0.96889605694031
frota_793D_3S,0,-0.00025,0.00025,CA65933,0.96889605694031
count_nao_critico_24h,496,0.00023,0.00023,CA65933,0.96889605694031
count_critico_8h,6,-0.00021,0.00021,CA65933,0.96889605694031
valor_disponivel,1,-0.00007,0.00007,CA65933,0.96889605694031
estado_pre_evento,Operando,0.00002,0.00002,CA65933,0.96889605694031
