covariate,coef,time_ratio_TR,coef_lower_95,coef_upper_95,p_valor,TR_lower_95,TR_upper_95,interpretacao
tag_freq,0.3592,1.4322,0.3459,0.3725,0.0,1.4133,1.4514,RISCO MENOR (sobrevida maior)
tipo_caminhao,-3.2692,0.038,-3.3129,-3.2254,0.0,0.0364,0.0397,RISCO MAIOR (sobrevida menor)
Intercept,8.0726,3205.509,8.0168,8.1284,0.0,3031.4945,3389.5123,RISCO MENOR (sobrevida maior)
frota_793D_5S,-1.7782,0.1689,-1.8184,-1.7381,0.0,0.1623,0.1759,RISCO MAIOR (sobrevida menor)
frota_793D_2S,-1.0292,0.3573,-1.0828,-0.9757,0.0,0.3386,0.3769,RISCO MAIOR (sobrevida menor)
frota_793D_4S,-0.7982,0.4502,-0.8413,-0.755,0.0,0.4312,0.47,RISCO MAIOR (sobrevida menor)
frota_793D_3S,-1.0096,0.3644,-1.0719,-0.9472,0.0,0.3424,0.3878,RISCO MAIOR (sobrevida menor)
operador_freq,0.1169,1.124,0.1055,0.1282,0.0,1.1113,1.1368,RISCO MENOR (sobrevida maior)
valor_disponivel,0.2019,1.2237,0.1791,0.2247,0.0,1.1961,1.252,RISCO MENOR (sobrevida maior)
count_critico_24h,-0.1694,0.8442,-0.1887,-0.15,0.0,0.828,0.8607,RISCO MAIOR (sobrevida menor)
taxa_DG_operador_30d,-0.0856,0.918,-0.0955,-0.0757,0.0,0.9089,0.9271,RISCO MAIOR (sobrevida menor)
count_nao_critico_1h,-0.1536,0.8576,-0.1714,-0.1358,0.0,0.8425,0.8731,RISCO MAIOR (sobrevida menor)
mes,0.0762,1.0791,0.0661,0.0862,0.0,1.0683,1.09,RISCO MENOR (sobrevida maior)
count_nao_critico_4h,-0.13,0.8781,-0.1514,-0.1086,0.0,0.8595,0.8971,RISCO MAIOR (sobrevida menor)
razao_alarme_7d_vs_30d_anterior,-0.067,0.9352,-0.079,-0.0549,0.0,0.924,0.9465,RISCO MAIOR (sobrevida menor)
horas_desde_ultimo_critico,0.0531,1.0545,0.043,0.0632,0.0,1.0439,1.0653,RISCO MENOR (sobrevida maior)
count_total_24h,-0.1204,0.8866,-0.1451,-0.0957,0.0,0.865,0.9087,RISCO MAIOR (sobrevida menor)
estado_pre_evento_Manutenção,0.1972,1.218,0.1412,0.2531,0.0,1.1517,1.2881,RISCO MENOR (sobrevida maior)
count_total_8h,0.0687,1.0711,0.0466,0.0908,0.0,1.0477,1.095,RISCO MENOR (sobrevida maior)
razao_severidade_14d_vs_60d,0.0266,1.027,0.0171,0.0361,0.0,1.0173,1.0368,RISCO MENOR (sobrevida maior)
dia_semana,-0.0199,0.9803,-0.0299,-0.01,0.0001,0.9706,0.99,RISCO MAIOR (sobrevida menor)
count_critico_1h,-0.0282,0.9722,-0.0443,-0.012,0.0006,0.9567,0.988,RISCO MAIOR (sobrevida menor)
count_nao_critico_24h,-0.0353,0.9653,-0.0562,-0.0144,0.001,0.9453,0.9857,RISCO MAIOR (sobrevida menor)
estado_pre_evento_SEM_APONTAMENTO,-0.9448,0.3887,-1.5172,-0.3725,0.0012,0.2193,0.689,RISCO MAIOR (sobrevida menor)
n_bypasses_operador_7d,0.015,1.0151,0.0043,0.0257,0.0061,1.0043,1.026,RISCO MENOR (sobrevida maior)
hora_dia,0.0132,1.0133,0.0034,0.0231,0.0084,1.0034,1.0234,RISCO MENOR (sobrevida maior)
qtd_alarmes_nivel_muito_alto_360min,-0.0181,0.9821,-0.0356,-0.0006,0.0429,0.965,0.9994,RISCO MAIOR (sobrevida menor)
count_critico_4h,0.0176,1.0178,-0.0012,0.0365,0.066,0.9988,1.0371,RISCO MENOR (sobrevida maior)
count_total_2h,-0.0208,0.9794,-0.0431,0.0014,0.0664,0.9578,1.0014,RISCO MAIOR (sobrevida menor)
estado_pre_evento_Parado,-0.0393,0.9615,-0.0897,0.0111,0.1262,0.9142,1.0111,RISCO MAIOR (sobrevida menor)
turno_Noturno,0.0126,1.0127,-0.0072,0.0324,0.2121,0.9928,1.033,RISCO MENOR (sobrevida maior)
estado_pre_evento_Operando,-0.0146,0.9855,-0.0632,0.0341,0.5576,0.9387,1.0347,RISCO MAIOR (sobrevida menor)
