TAG,Tag_Frota,Tipo,Data_Evento,Criticidade,Alarme,anomaly_score,qtd_alarmes_nivel_muito_alto_360min,n_eventos_proximos_4h,n_critico_proximos_4h,n_nao_critico_proximos_4h,n_DG_proximos_4h
PE3797,LeTourneau L 1850,Escavadeira,2025-06-17T04:44:38.317000,Critico,Drive Cooling Pump Controller #1 Data Link Missing (L-1850),0.08960204569860608,0,2,2,0,0
PE3797,LeTourneau L 1850,Escavadeira,2025-06-17T04:44:38.383000,Critico,Drive Cooling Pump Controller #2 Data Link Missing (L-1850),0.08939657107095011,0,1,1,0,0
PE3797,LeTourneau L 1850,Escavadeira,2025-06-17T04:44:38.387000,Critico,Drive Cooling Pump Controller #3 Data Link Missing (L-1850),0.08939657107095011,0,0,0,0,0
PE3797,LeTourneau L 1850,Escavadeira,2025-06-17T04:44:35.680000,Nao_Critico,Engine ECM Data Link Missing (L-1850),0.08852054107800678,0,3,3,0,0
PE3797,LeTourneau L 1850,Escavadeira,2025-06-17T04:44:35.673000,Nao_Critico,Generator Master Data Link Missing (L-1850),0.08835034469877956,0,4,3,1,0
PE3797,LeTourneau L 1850,Escavadeira,2025-06-17T04:43:15.907000,Nao_Critico,Motor #3 ( Left Rear ) Master Data Link Missing (L-1850),0.0883154433516199,0,5,3,2,0
PE3797,LeTourneau L 1850,Escavadeira,2025-06-17T04:43:06.417000,Critico,Auxiliary Steering System Fault (L-1850),0.08771867695894653,0,6,3,3,0
PE3797,LeTourneau L 1850,Escavadeira,2025-06-17T04:43:04.183000,Nao_Critico,Right Rear Motor Drive Fault (L-1850),0.08489536843084233,0,15,5,10,0
PE3797,LeTourneau L 1850,Escavadeira,2025-06-17T04:43:04.463000,Nao_Critico,Left Rear Motor Drive Fault (L-1850),0.08489536843084233,0,14,5,9,0
PE3797,LeTourneau L 1850,Escavadeira,2025-06-17T04:43:04.510000,Nao_Critico,Left Front Motor Drive Fault (L-1850),0.08489536843084233,0,13,5,8,0
PE3797,LeTourneau L 1850,Escavadeira,2025-06-17T04:43:04.937000,Nao_Critico,Motor #2 ( Right Front ) Master Data Link Missing (L-1850),0.08489536843084233,0,12,5,7,0
PE3797,LeTourneau L 1850,Escavadeira,2025-06-17T04:43:04.940000,Critico,Left Joystick Data Link Missing (L-1850),0.08489536843084233,0,10,4,6,0
PE3797,LeTourneau L 1850,Escavadeira,2025-06-17T04:43:05.457000,Nao_Critico,Motor #1 ( Left Front ) Master Data Link Missing (L-1850),0.08488936467248842,0,9,4,5,0
PE3797,LeTourneau L 1850,Escavadeira,2025-06-17T04:43:05.460000,Nao_Critico,Motor #4 ( Right Rear ) Master Data Link Missing (L-1850),0.08488936467248842,0,7,4,3,0
PE3797,LeTourneau L 1850,Escavadeira,2025-06-17T04:43:05.460000,Nao_Critico,Motor #3 ( Left Rear ) Master Data Link Missing (L-1850),0.08488936467248842,0,7,4,3,0
PE3797,LeTourneau L 1850,Escavadeira,2025-06-17T04:43:04.940000,Nao_Critico,Right Joystick Data Link Missing (L-1850),0.084691534066761,0,10,4,6,0
PE3797,LeTourneau L 1850,Escavadeira,2025-06-17T04:43:04.043000,Nao_Critico,System Air Pressure Sensor Or Cable Fail Low (L-1850),0.08351194438033815,0,23,5,18,0
PE3797,LeTourneau L 1850,Escavadeira,2025-06-17T04:43:04.047000,Nao_Critico,Autolube Grease Pressure Sensor Or Cable Fail Low (L-1850),0.08351194438033815,0,22,5,17,0
PE3797,LeTourneau L 1850,Escavadeira,2025-06-17T04:43:04.067000,Nao_Critico,Fuel Level Sensor Or Cable Fail Low (L-1850),0.08351194438033815,0,21,5,16,0
PE3797,LeTourneau L 1850,Escavadeira,2025-06-17T04:43:04.073000,Nao_Critico,Hydraulic Reservoir Oil Temperature Sensor Or Cable Fail Low (L-1850),0.08351194438033815,0,20,5,15,0
PE3797,LeTourneau L 1850,Escavadeira,2025-06-17T04:43:04.080000,Nao_Critico,Lift Arm Position Sensor Or Cable Fail Low (L-1850),0.08351194438033815,0,19,5,14,0
PE3797,LeTourneau L 1850,Escavadeira,2025-06-17T04:43:04.103000,Nao_Critico,HPD Gearbox Oil Temperature Sensor Or Cable Fail Low (L-1850),0.08351194438033815,0,18,5,13,0
PE3797,LeTourneau L 1850,Escavadeira,2025-06-17T04:43:04.107000,Nao_Critico,Right Front Motor Drive Fault (L-1850),0.08351194438033815,0,16,5,11,0
PE3797,LeTourneau L 1850,Escavadeira,2025-06-17T04:43:04.107000,Nao_Critico,Steer Position Sensor Or Cable Fail Low (L-1850),0.08351194438033815,0,16,5,11,0
PE3797,LeTourneau L 1850,Escavadeira,2025-06-17T04:43:03.977000,Nao_Critico,Klenz Reservoir Air Pressure Sensor Or Cable Fail Low (L-1850),0.08250130478464679,0,28,5,23,0
PE3797,LeTourneau L 1850,Escavadeira,2025-06-17T04:43:03.977000,Nao_Critico,Hydraulic Reservoir Air Pressure Sensor Or Cable Fail Low (L-1850),0.08250130478464679,0,28,5,23,0
PE3797,LeTourneau L 1850,Escavadeira,2025-06-17T04:43:03.977000,Nao_Critico,Hoist Cylinder Base Pressure Sensor Or Cable Fail Low (L-1850),0.08250130478464679,0,28,5,23,0
PE3797,LeTourneau L 1850,Escavadeira,2025-06-17T04:43:04.013000,Nao_Critico,HPD Gearbox Pressure Sensor Or Cable Fail Low (L-1850),0.08250130478464679,0,27,5,22,0
PE3797,LeTourneau L 1850,Escavadeira,2025-06-17T04:43:04.037000,Nao_Critico,Rear Service Brakes Pressure Sensor Or Cable Fail Low (L-1850),0.08250130478464679,0,24,5,19,0
PE3797,LeTourneau L 1850,Escavadeira,2025-06-17T04:43:04.037000,Nao_Critico,Rear Park Brakes Pressure Sensor Or Cable Fail Low (L-1850),0.08250130478464679,0,24,5,19,0
PE3797,LeTourneau L 1850,Escavadeira,2025-06-17T04:43:04.037000,Nao_Critico,Radiator Fan Pump Pressure Sensor Or Cable Fail Low (L-1850),0.08250130478464679,0,24,5,19,0
PE3797,LeTourneau L 1850,Escavadeira,2025-06-17T04:43:03.973000,Nao_Critico,Front Service Brakes Pressure Sensor Or Cable Fail Low (L-1850),0.08072584698546548,0,31,5,26,0
PE3797,LeTourneau L 1850,Escavadeira,2025-06-17T04:43:03.973000,Nao_Critico,Front Park Brakes Pressure Sensor Or Cable Fail Low (L-1850),0.08072584698546548,0,31,5,26,0
PE3797,LeTourneau L 1850,Escavadeira,2025-06-17T04:41:36.630000,Critico,Drive Cooling Pump Controller #3 Data Link Missing (L-1850),0.07738504665436863,0,33,5,28,0
PE3797,LeTourneau L 1850,Escavadeira,2025-06-17T04:41:36.630000,Critico,Drive Cooling Pump Controller #1 Data Link Missing (L-1850),0.07738504665436863,0,33,5,28,0
