shap_rank,feature,shap_pct_v3,weibull_rank,weibull_TR,weibull_TR_lower_95,weibull_TR_upper_95,weibull_p,concordancia,weibull_direcao
1,qtd_alarmes_nivel_muito_alto_360min,41.04,26,0.9821,0.965,0.9994,0.0429,SHAP top10 / Weibull discordante,RISCO MAIOR
2,tipo_caminhao,23.89,1,0.038,0.0364,0.0397,0.0,AMBOS top10,RISCO MAIOR
3,razao_alarme_7d_vs_30d_anterior,11.1,18,0.9352,0.924,0.9465,0.0,SHAP top10 / Weibull discordante,RISCO MAIOR
4,tag_freq,3.3,7,1.4322,1.4133,1.4514,0.0,AMBOS top10,RISCO MENOR
5,mes,2.09,16,1.0791,1.0683,1.09,0.0,SHAP top10 / Weibull discordante,RISCO MENOR
6,razao_severidade_14d_vs_60d,1.98,23,1.027,1.0173,1.0368,0.0,SHAP top10 / Weibull discordante,RISCO MENOR
7,frota_793D_4S,1.9,6,0.4502,0.4312,0.47,0.0,AMBOS top10,RISCO MAIOR
8,taxa_DG_operador_30d,1.78,15,0.918,0.9089,0.9271,0.0,SHAP top10 / Weibull discordante,RISCO MAIOR
9,frota_793D_5S,1.51,2,0.1689,0.1623,0.1759,0.0,AMBOS top10,RISCO MAIOR
10,count_total_24h,1.33,13,0.8866,0.865,0.9087,0.0,SHAP top10 / Weibull discordante,RISCO MAIOR
11,horas_desde_ultimo_critico,1.11,19,1.0545,1.0439,1.0653,0.0,nenhum top10,RISCO MENOR
12,operador_freq,0.84,14,1.124,1.1113,1.1368,0.0,nenhum top10,RISCO MENOR
13,dia_semana,0.75,25,0.9803,0.9706,0.99,0.0001,nenhum top10,RISCO MAIOR
14,count_total_4h,0.72,,,,,,nenhum top10,n/a
15,count_nao_critico_1h,0.71,11,0.8576,0.8425,0.8731,0.0,nenhum top10,RISCO MAIOR
16,count_nao_critico_24h,0.66,21,0.9653,0.9453,0.9857,0.001,nenhum top10,RISCO MAIOR
17,count_nao_critico_8h,0.65,,,,,,nenhum top10,n/a
18,count_total_8h,0.53,17,1.0711,1.0477,1.095,0.0,nenhum top10,RISCO MENOR
19,count_critico_24h,0.52,10,0.8442,0.828,0.8607,0.0,Weibull top10 / SHAP discordante,RISCO MAIOR
20,count_critico_8h,0.48,,,,,,nenhum top10,n/a
21,count_total_2h,0.46,24,0.9794,0.9578,1.0014,0.0664,nenhum top10,RISCO MAIOR
22,count_total_1h,0.44,,,,,,nenhum top10,n/a
23,estado_pre_evento,0.37,,,,,,nenhum top10,n/a
24,count_nao_critico_2h,0.35,,,,,,nenhum top10,n/a
25,hora_dia,0.34,30,1.0133,1.0034,1.0234,0.0084,nenhum top10,RISCO MENOR
26,n_bypasses_operador_7d,0.26,28,1.0151,1.0043,1.026,0.0061,nenhum top10,RISCO MENOR
27,count_critico_4h,0.18,27,1.0178,0.9988,1.0371,0.066,nenhum top10,RISCO MENOR
28,count_critico_2h,0.17,,,,,,nenhum top10,n/a
29,count_nao_critico_4h,0.16,12,0.8781,0.8595,0.8971,0.0,nenhum top10,RISCO MAIOR
30,turno,0.14,,,,,,nenhum top10,n/a
31,count_critico_1h,0.1,22,0.9722,0.9567,0.988,0.0006,nenhum top10,RISCO MAIOR
32,frota_793D_2S,0.09,3,0.3573,0.3386,0.3769,0.0,Weibull top10 / SHAP discordante,RISCO MAIOR
33,frota_793D_3S,0.03,4,0.3644,0.3424,0.3878,0.0,Weibull top10 / SHAP discordante,RISCO MAIOR
34,valor_disponivel,0.01,8,1.2237,1.1961,1.252,0.0,Weibull top10 / SHAP discordante,RISCO MENOR
,turno_Noturno,,31,1.0127,0.9928,1.033,0.2121,nenhum top10,RISCO MENOR
,estado_pre_evento_Parado,,20,0.9615,0.9142,1.0111,0.1262,nenhum top10,RISCO MAIOR
,estado_pre_evento_Manutenção,,9,1.218,1.1517,1.2881,0.0,nenhum top10,RISCO MENOR
,estado_pre_evento_Operando,,29,0.9855,0.9387,1.0347,0.5576,nenhum top10,RISCO MAIOR
,estado_pre_evento_SEM_APONTAMENTO,,5,0.3887,0.2193,0.689,0.0012,nenhum top10,RISCO MAIOR
